Date,Details,Note,Debit/Credit,Amount,Balance
2025-07-20,UPI/DR/HDFC LIFE/TERM INSURANCE,TERM PLAN PREMIUM,Debit,16000,834644
2025-07-22,UPI/DR/INDIGO/FLIGHT TICKET,MUMBAI TRIP,Debit,5200,829444
2025-07-24,NEFT/CR/AXIS BANK/FD INTEREST Q2,FD INT Q2 2025,Credit,8750,838194
2025-07-26,UPI/DR/ZERODHA BROKING/EQUITY BUY,BUY HDFC BANK,Debit,92000,746194
2025-07-28,UPI/DR/TATA SKY/DTH RECHARGE,,Debit,500,745694
2025-07-30,CASH/DEPOSIT/BRANCH/SBI,CASH DEPOSIT,Credit,50000,795694
2025-07-31,UPI/DR/BIG BASKET/GROCERIES,,Debit,4200,791494
2025-08-02,NEFT/SALARY/INFOSYS BPM LTD/JUL25,JULY SALARY,Credit,198500,989994
2025-08-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,961594
2025-08-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,956594
2025-08-07,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,948594
2025-08-08,NEFT/RENT/PRIYA SHARMA LANDLORD/AUG,HSR LAYOUT RENT,Debit,22000,926594
2025-08-10,UPI/CR/WAZIRX/CRYPTO SELL BTC,BTC PARTIAL EXIT,Credit,62000,988594
2025-08-12,UPI/DR/MANIPAL HOSPITAL/OPD,MEDICAL EXPENSES,Debit,8500,980094
2025-08-15,UPI/DR/PAYTM/ELECTRICITY BILL,,Debit,2600,977494
2025-08-18,UPI/CR/UPWORK GLOBAL INC/USD REMITTANCE,FREELANCE PROJECT,Credit,95000,1072494
2025-08-20,UPI/DR/AMAZON/AIRPODS,,Debit,19000,1053494
2025-08-22,UPI/DR/ZERODHA BROKING/MF REDEMPTION,GROWW ELSS REDEEM,Credit,125000,1178494
2025-08-25,UPI/DR/UBER/CAB,,Debit,380,1178114
2025-08-27,NEFT/CR/SBI SAVINGS INT/AUG,SAVINGS INTEREST,Credit,4200,1182314
2025-08-28,UPI/DR/ZOMATO/RESTAURANT,,Debit,920,1181394
2025-08-30,UPI/DR/MYNTRA/CLOTHES,,Debit,3600,1177794
2025-09-02,NEFT/SALARY/INFOSYS BPM LTD/AUG25,AUGUST SALARY,Credit,198500,1376294
2025-09-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,1347894
2025-09-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,1342894
2025-09-07,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,1334894
2025-09-08,NEFT/RENT/PRIYA SHARMA LANDLORD/SEP,HSR LAYOUT RENT,Debit,22000,1312894
2025-09-10,UPI/CR/WAZIRX/CRYPTO SELL ETH,ETH EXIT,Credit,52000,1364894
2025-09-12,UPI/DR/CLEARTAX/CA CONSULTATION,,Debit,3000,1361894
2025-09-15,UPI/DR/NPS TRUST/VOLUNTARY CONTRIBUTION,VOLUNTARY NPS,Debit,50000,1311894
2025-09-18,UPI/DR/ZERODHA BROKING/EQUITY SELL,SELL TCS LTCG,Credit,175000,1486894
2025-09-20,UPI/DR/AMAZON/AMZN MKTP IN,,Debit,6800,1480094
2025-09-22,UPI/DR/TATA 1MG/MEDICINE,,Debit,2100,1477994
2025-09-24,NEFT/CR/AXIS BANK/FD INTEREST Q3,FD INT Q3 2025,Credit,8750,1486744
2025-09-26,UPI/DR/PAYTM/BROADBAND,,Debit,999,1485745
2025-09-28,UPI/DR/BIG BASKET/GROCERIES,,Debit,4500,1481245
2025-09-30,UPI/DR/IRCTC/TRAIN TICKET,GOA TRIP,Debit,3200,1478045
2025-10-02,NEFT/SALARY/INFOSYS BPM LTD/SEP25,SEPT SALARY,Credit,198500,1676545
2025-10-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,1648145
2025-10-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,1643145
2025-10-07,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,1635145
2025-10-08,NEFT/RENT/PRIYA SHARMA LANDLORD/OCT,HSR LAYOUT RENT,Debit,22000,1613145
2025-10-10,NEFT/CR/UPWORK GLOBAL INC/USD REMITTANCE,FREELANCE MILESTONE,Credit,88000,1701145
2025-10-12,UPI/DR/POLICYBAZAAR/LIC PREMIUM,LIC 2ND INSTALMENT,Debit,12500,1688645
2025-10-15,UPI/DR/ZERODHA BROKING/EQUITY BUY,BUY WIPRO,Debit,45000,1643645
2025-10-18,UPI/DR/CROMA/IPHONE 16,MOBILE PHONE,Debit,82000,1561645
2025-10-20,UPI/CR/COINSWITCH/CRYPTO SELL,USDT SALE,Credit,38000,1599645
2025-10-22,NEFT/CR/DIVIDEND/INFOSYS LTD,INFOSYS DIVIDEND,Credit,3200,1602845
2025-10-24,UPI/DR/AMAZON/AMZN MKTP IN,,Debit,1800,1601045
2025-10-26,UPI/DR/SWIGGY/FOOD ORDER,,Debit,640,1600405
2025-10-28,UPI/DR/TANISHQ/GOLD JEWELLERY,GOLD PURCHASE,Debit,45000,1555405
2025-10-30,UPI/DR/UBER/CAB,,Debit,620,1554785
2025-11-02,NEFT/SALARY/INFOSYS BPM LTD/OCT25,OCT SALARY,Credit,198500,1753285
2025-11-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,1724885
2025-11-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,1719885
2025-11-07,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,1711885
2025-11-08,NEFT/RENT/PRIYA SHARMA LANDLORD/NOV,HSR LAYOUT RENT,Debit,22000,1689885
2025-11-10,CASH/DEPOSIT/BRANCH/HDFC,CASH DEPOSIT,Credit,75000,1764885
2025-11-12,UPI/DR/NAUKRI/JOB PORTAL,,Debit,1499,1763386
2025-11-14,UPI/DR/ZERODHA BROKING/EQUITY SELL,SELL WIPRO STCG,Credit,52000,1815386
2025-11-16,UPI/CR/SBI SAVINGS INT/NOV,SAVINGS INTEREST,Credit,4500,1819886
2025-11-18,UPI/DR/APOLLO PHARMACY/MEDICINE,,Debit,1850,1818036
2025-11-20,NEFT/CR/UPWORK GLOBAL INC/USD REMITTANCE,FREELANCE PAYMENT,Credit,72000,1890036
2025-11-22,UPI/DR/AMAZON/HOUSEHOLD,,Debit,7800,1882236
2025-11-24,UPI/DR/PAYTM/ELECTRICITY BILL,,Debit,2200,1880036
2025-11-26,UPI/DR/ICICI LOMBARD/TWO WHEELER INS,BIKE INSURANCE,Debit,4800,1875236
2025-11-28,UPI/DR/ZOMATO/RESTAURANT,,Debit,1100,1874136
2025-11-30,UPI/DR/BIG BASKET/GROCERIES,,Debit,5200,1868936
2025-12-02,NEFT/SALARY/INFOSYS BPM LTD/NOV25,NOV SALARY,Credit,198500,2067436
2025-12-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,2039036
2025-12-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,2034036
2025-12-07,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,2026036
2025-12-08,NEFT/RENT/PRIYA SHARMA LANDLORD/DEC,HSR LAYOUT RENT,Debit,22000,2004036
2025-12-10,UPI/DR/ZERODHA BROKING/EQUITY BUY,BUY BAJAJ FINANCE,Debit,130000,1874036
2025-12-12,UPI/DR/INDIGO/FLIGHT,FAMILY TRIP,Debit,18000,1856036
2025-12-15,UPI/DR/POLICYBAZAAR/TERM INSURANCE,TERM PLAN ADDON,Debit,8000,1848036
2025-12-18,UPI/DR/AMAZON/CHRISTMAS GIFTS,,Debit,12000,1836036
2025-12-20,NEFT/CR/AXIS BANK/FD INTEREST Q4,FD INT Q4 2025,Credit,8750,1844786
2025-12-22,UPI/CR/INFOSYS REFERRAL BONUS,EMPLOYEE REFERRAL,Credit,25000,1869786
2025-12-24,UPI/DR/BESTBUY/ELECTRONICS,MONITOR PURCHASE,Debit,22000,1847786
2025-12-26,UPI/DR/SWIGGY/FOOD ORDER,,Debit,890,1846896
2025-12-28,UPI/DR/UBER/CAB,,Debit,750,1846146
2025-12-30,UPI/DR/PAYTM/GAS BILL,,Debit,1800,1844346
2026-01-02,NEFT/SALARY/INFOSYS BPM LTD/DEC25,DEC SALARY,Credit,198500,2042846
2026-01-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,2014446
2026-01-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,2009446
2026-01-07,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,2001446
2026-01-08,NEFT/RENT/PRIYA SHARMA LANDLORD/JAN,HSR LAYOUT RENT,Debit,22000,1979446
2026-01-10,UPI/CR/WAZIRX/CRYPTO SELL BTC,BITCOIN PARTIAL,Credit,78000,2057446
2026-01-12,UPI/DR/AMAZON/AMZN MKTP IN,,Debit,4200,2053246
2026-01-14,UPI/DR/POLICYBAZAAR/LIC PREMIUM,LIC 3RD INSTALMENT,Debit,12500,2040746
2026-01-16,NEFT/CR/UPWORK GLOBAL INC/USD REMITTANCE,FREELANCE Q4,Credit,115000,2155746
2026-01-18,UPI/DR/ZERODHA BROKING/EQUITY SELL,SELL BAJAJ FINANCE,Credit,145000,2300746
2026-01-20,UPI/DR/NPS TRUST/VOLUNTARY CONTRIBUTION,VOLUNTARY NPS 80CCD1B,Debit,50000,2250746
2026-01-22,UPI/DR/TATA 1MG/MEDICINE,,Debit,2400,2248346
2026-01-24,UPI/DR/NETFLIX/SUBSCRIPTION,,Debit,649,2247697
2026-01-26,UPI/CR/RAMESH VERMA/PERSONAL TRANSFER,FRIEND LOAN REPAY,Credit,30000,2277697
2026-01-28,UPI/DR/BIG BASKET/GROCERIES,,Debit,5800,2271897
2026-01-30,UPI/DR/MYNTRA/CLOTHES,,Debit,4200,2267697
2026-02-02,NEFT/SALARY/INFOSYS BPM LTD/JAN26,JAN SALARY,Credit,198500,2466197
2026-02-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,2437797
2026-02-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,2432797
2026-02-07,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,2424797
2026-02-08,NEFT/RENT/PRIYA SHARMA LANDLORD/FEB,HSR LAYOUT RENT,Debit,22000,2402797
2026-02-10,UPI/DR/ZERODHA BROKING/EQUITY BUY,BUY ASIAN PAINTS,Debit,88000,2314797
2026-02-12,NEFT/CR/SBI SAVINGS INT/FEB,SAVINGS INTEREST,Credit,4800,2319597
2026-02-14,UPI/DR/AMAZON/VALENTINES GIFT,,Debit,3200,2316397
2026-02-16,UPI/CR/INFOSYS/BONUS PAYOUT,PERFORMANCE BONUS,Credit,50000,2366397
2026-02-18,UPI/DR/MANIPAL HOSPITAL/SURGERY,MEDICAL BILLS,Debit,35000,2331397
2026-02-20,UPI/DR/PAYTM/ELECTRICITY BILL,,Debit,2400,2328997
2026-02-22,NEFT/CR/UPWORK GLOBAL INC/USD REMITTANCE,FREELANCE FINAL,Credit,68000,2396997
2026-02-24,UPI/DR/AMAZON/AMZN MKTP IN,,Debit,6800,2390197
2026-02-26,UPI/DR/UBER/CAB,,Debit,520,2389677
2026-02-28,UPI/DR/BIG BASKET/GROCERIES,,Debit,5500,2384177
2026-03-02,NEFT/SALARY/INFOSYS BPM LTD/FEB26,FEB SALARY,Credit,198500,2582677
2026-03-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,2554277
2026-03-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,2549277
2026-03-07,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,2541277
2026-03-08,NEFT/RENT/PRIYA SHARMA LANDLORD/MAR,HSR LAYOUT RENT,Debit,22000,2519277
2026-03-10,UPI/CR/COINSWITCH/CRYPTO SELL,CRYPTO EXIT,Credit,44000,2563277
2026-03-12,UPI/DR/ZERODHA BROKING/MF PURCHASE,LIQUID FUND,Debit,200000,2363277
2026-03-15,UPI/DR/NPS TRUST/VOLUNTARY CONTRIBUTION,YEAR END NPS TOP UP,Debit,50000,2313277
2026-03-18,UPI/DR/LIC/PREMIUM/POLICY,LIC FINAL INSTALMENT,Debit,12500,2300777
2026-03-20,UPI/CR/WAZIRX/CRYPTO SELL ETH,FINAL ETH EXIT,Credit,92000,2392777
2026-03-22,UPI/DR/AMAZON/AMZN MKTP IN,,Debit,3800,2388977
2026-03-24,NEFT/CR/SBI SAVINGS INT/MAR,SAVINGS INTEREST ANNUAL,Credit,5200,2394177
2026-03-26,UPI/DR/CLEARTAX/PREMIUM,TAX FILING SOFTWARE,Debit,999,2393178
2026-03-28,UPI/DR/PAYTM/INTERNET BILL,,Debit,999,2392179
2026-03-31,NEFT/CR/AXIS BANK/FD MATURITY,FD MATURITY AMT,Credit,385000,2777179
